Dataset,Algoritmo,Semilla,Costo,Evaluaciones,Solucion
datasets/tai25b.dat,Greedy Prob,42,843206656,1, 24 20 21 11 1 4 2 17 0 3 13 8 18 10 7 14 23 12 22 19 15 6 16 5 9 
datasets/tai25b.dat,BL Primer Mejor,N/A,400088421,6963, 8 17 23 9 12 11 16 2 24 0 4 10 13 6 20 7 21 22 1 3 15 14 5 18 19 
datasets/tai25b.dat,Greedy Prob,420,820247503,1, 21 23 11 2 13 19 12 18 1 9 6 8 16 0 7 14 22 5 20 17 15 10 24 4 3 
datasets/tai25b.dat,BL Primer Mejor,N/A,460862469,9575, 5 9 8 18 22 11 23 3 21 0 24 6 13 19 12 1 10 20 7 16 15 14 4 17 2 
datasets/tai25b.dat,Greedy Prob,4200,811018931,1, 22 20 19 8 10 4 9 17 1 12 5 11 16 6 7 14 24 0 21 23 18 13 15 3 2 
datasets/tai25b.dat,BL Primer Mejor,N/A,399235770,12188, 4 9 3 8 12 13 14 2 6 23 24 0 16 17 11 7 21 22 1 10 5 15 20 18 19 
datasets/tai25b.dat,Greedy Prob,42000,791418503,1, 16 8 21 13 1 4 5 23 7 2 6 24 15 0 9 14 22 12 19 20 17 10 18 11 3 
datasets/tai25b.dat,BL Primer Mejor,N/A,349785972,5385, 6 8 5 12 19 4 23 14 15 2 16 24 17 3 9 1 21 22 7 11 20 10 13 0 18 
datasets/tai25b.dat,Greedy Prob,80987,800452569,1, 23 20 19 8 7 14 6 24 0 2 9 4 16 10 1 11 21 12 22 17 15 13 18 3 5 
datasets/tai25b.dat,BL Primer Mejor,N/A,413724795,5823, 8 24 3 0 20 23 4 12 10 11 9 14 13 6 16 7 21 22 1 2 15 17 5 18 19 
